"Tên tổ chức, doanh nghiệp được cấp phép",domain
 Đài Phát thanh và Truyền hình Quảng Bình, qbtv.vn
 Đài Phát thanh và Truyền hình Quảng Ngãi ," quangngaitv.vn, ứng dụng PTQ ONLINE "
 Đài Phát thanh và Truyền hình thành phố Cần Thơ," canthotv.vn,  thtpct.vn,  canthoradio.vn  "
 Ban Đối ngoại Trung ương Đảng,"  bdntw.org.vn ,�  cpvic.org.vn"
 Ban Trị sự Trung ương Giáo hội Phật giáo Hòa Hảo  ,"  phatgiaohoahao.org.vn,  pghh.org.vn"
 Cục Công nghệ thông tin – Bộ Y tế ,"ictmoh.gov.vn ,� ehealth.gov.vn"
 Cục Kiểm soát thủ tục hành chính, thutuchanhchinh.vn 
 Hội Chiếu sáng Việt Nam,"  hoichieusangvietnam.org.vn,   vlavietnam.org"
 Hội Doanh nhân tư nhân Việt Nam,  vpba.org.vn  
 Hiệp hội doanh nghiệp Quân đội,"  hiephoidnqd.vn ,�  hiephoidnqd.com.vn"
 Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),   agribank.com.vn
 Nhà xuất bản Khoa học xã hội, ssph.vn
 Sở Thông tin và Truyền thông Thừa Thiên Huế,   stttt.thuathienhue.gov.vn
 Sở Thông tin và Truyền thông Tuyên Quang,"  doingoaituyenquang.gov.vn/vi 
  doingoaituyenquang.gov.vn/en
"
 Tổng Liên đoàn Lao động Việt Nam ,congdoan.vn 
 Tạp chí Châu Mỹ Ngày nay , americastoday.com.vn
 Tạp chí Heritage ,"  heritagevietnamairlines.com.vn,  heritagevietnamairlines.com, 
  heritagevietnamairlines.net,
            heritagevna.com,  heritagevna.net,  heritagevna.com.vn,
ứng dụng HERITAGEVIETNAMAIRLINES "
 Tạp chí Khám phá,"sangkiencongdong.vn, socialideas.vn , nhipsongkinhte.toquoc.vn"
 Tạp chí Người Xây dựng , nguoixaydung.com.vn
 Tạp chí Phát triển bền vững Vùng , rrsd.org.vn
 Tạp chí Y học Quân sự, yhqs.vn
 Trung tâm Đo kiểm Phát thanh truyền hình và Thông tin điện tử,"  gameportal.gov.vn,  gameportal.vn,  gameportal.com.vn"
 Trung tâm Con người và Thiên nhiên ," nature.com.vn ,�  thiennhien.net "
" Trung tâm Quản lý chính sách, pháp luật tài nguyên và môi trường",  quanlytainguyenvamoitruong.vn  
 Trung tâm tư vấn pháp luật Asean, phapluatvakinhte.vn  
 Trung tâm Thông tin Công nghiệp và Thương mại, cmsc.gov.vn
